job_id,title,company,city,country,employment_type,is_remote,posted_at,skills_detected,n_skills_detected
nOk1qalloQrhP_qDAAAAAA==,Google Data Analyst,Izertis,Madrid,ES,A tiempo completo,False,hace 3 días,"R, Python, Sql",3
uMhu3Jjs51Oit-EpAAAAAA==,Data Analyst - Sql Specialist,Oliver Bernard,Madrid,ES,A tiempo completo,False,hace 12 horas,"Python, Sql",2
t_JPmi1V8GD12EvVAAAAAA==,Data Analyst with Looker,IZERTIS,Madrid,ES,A tiempo completo,False,hace 2 días,"R, Python, Sql",3
c2Uf_TF0D0ejpJPRAAAAAA==,Data Analyst - Analytics & Innovación en Equipo,SDG Group,Madrid,ES,A tiempo completo,False,hace 5 días,,0
3JaH37XAhkmEnDqPAAAAAA==,"Analista de datos / Data Analyst, hibrido",Segula Technologies,Madrid,ES,A tiempo completo,False,hace 22 días,,0
4_BhnSqMQEsUQHuRAAAAAA==,Data Process Analyst,ALTEN,Madrid,ES,A tiempo completo,False,hace 3 días,"Excel, Inglés, Power Bi, Python, Sql",5
e7xg4Ig5qmfpWcJgAAAAAA==,Business Analyst / Data Analyst,Page Personnel España,Madrid,ES,A tiempo completo,False,hace 2 días,"Excel, Pandas, Inglés, Python, Sql",5
IGGJjJ6GUY4cei9rAAAAAA==,"Graduate Data Analyst — Big-Impact Data Insights, Remote",Bending Spoons,Madrid,ES,A tiempo completo,False,hace 3 días,,0
KnPZNGeei2JjXp5NAAAAAA==,Data Scientist / Data Analyst (Madrid),CAS Training,Madrid,ES,A tiempo completo,False,hace 17 horas,"Machine Learning, Python, Inglés",3
xWG31qXT3VBiN9XiAAAAAA==,Functional Data Analyst,sg tech,Madrid,ES,A tiempo completo,False,,"Python, Azure, Sql",3
